,ISBN,store_name,gender_of_owner,2010_revenue_till_june,2011_revenue_till_june,2012_revenue_till_june,2013_revenue_till_june,2014_revenue_till_june,2015_revenue_till_june,2016_revenue_till_june,2017_revenue_till_june,2018_revenue_till_june,2019_revenue_till_june,2020_revenue_till_june,zip_codes
233,156909855-7,Schimmel-Lowe,Female,180153,192837,208131,218490,233293,250471,265486,285316,301868,316534,190346,94602
234,946085549-0,"Goyette, Pacocha and Ziemann",Female,141358,153197,167244,186339,204951,219420,229941,243815,259067,272217,167332,94946
235,246937991-1,Keeling Inc,Female,138899,150189,164174,176155,192352,211665,230017,242039,252366,271471,158344,94702
236,279771963-8,Anderson-Quigley,Female,193865,211272,230276,241317,254051,265780,278303,290519,303329,316621,188792,94547
237,352579382-0,"Jacobs, Marks and Shields",Male,166354,182387,192957,210795,230743,240989,258360,276834,292117,311755,196702,94904
238,668528290-8,Anderson-Dickinson,Female,142243,156344,168955,180221,195545,215030,228165,239620,254162,264408,131953,94112
239,252095495-7,Altenwerth Group,Male,167928,185471,204782,224289,237214,250363,265280,284827,295443,307340,190672,94114
240,685968983-8,Stanton-Olson,Female,56651,66137,74183,82464,89476,98473,106820,118314,131582,141920,95194,94954
241,382264036-0,"Bruen, Lang and Schuppe",Male,175254,192463,209092,220051,236341,251064,268345,286083,303795,316286,211996,94301
242,198716215-3,Lockman-Lind,Female,154683,169943,184717,198945,209991,221937,237094,255002,274025,290851,186260,94510
243,501332815-2,Kub-Schaefer,Male,174199,193198,205070,218415,238229,258099,272480,282539,296586,316437,189401,94938
244,123899751-1,"Schulist, Harber and Witting",Female,123338,135313,145710,158936,171057,186522,197508,213401,224485,239934,112191,94108
245,974412985-9,Carroll-Nienow,Female,187939,199687,218267,233500,252415,263544,283003,298638,310648,325577,197604,94523
246,862213835-6,"Ryan, Watsica and Abernathy",Male,105901,118213,131504,145270,157079,175760,193721,213126,227229,237659,104759,94531
247,213265344-5,"Bahringer, Walker and Larson",Male,166769,177242,192439,207119,217301,231201,247971,267016,283222,293275,162837,94061
248,271119913-4,"Nader, Wilkinson and Gerlach",Male,158633,173512,184670,196195,210213,220661,239331,252573,271653,287574,153645,94015
249,562750513-3,Bernhard-Collins,Male,170006,180317,191475,205996,216482,228029,239447,256026,268477,280930,141861,94803
250,213260255-7,Dietrich and Sons,Male,50764,57945,64902,71070,79641,89214,95001,102327,113851,126268,67930,94132
251,573401429-X,Turner-Rippin,Female,102952,115136,126190,139174,152335,165846,175919,194961,212900,227826,87436,95035
252,056449559-X,Hegmann-Kuvalis,Male,90436,96252,101697,113782,128112,142710,157317,173705,188332,204321,64364,94109
253,170506753-0,Thompson Inc,Male,140199,151699,166160,183771,194548,207566,225238,237483,248836,263054,146162,94578
254,105533348-7,Hammes LLC,Female,85678,95137,101678,111709,124822,137172,148094,162060,177625,195743,96588,94572
255,753483850-9,Ryan-Runolfsdottir,Male,194849,214636,229597,244682,254860,269220,288963,300714,310968,321339,178030,94603
256,969265992-5,"Koelpin, Carroll and Gaylord",Female,111487,123660,135743,150706,168801,184437,203890,221951,240522,256272,128416,94930
257,511413480-9,Walker LLC,Female,59040,68517,73668,79277,87726,95065,101631,114045,125614,135820,73952,94015
258,855707491-3,Witting LLC,Male,156086,168949,188787,199491,217316,230568,245483,265063,282746,295010,179562,94702
259,640952513-3,Stiedemann-Volkman,Female,75936,85273,91718,100643,113573,125270,136429,149589,160754,178725,116072,94107
260,779419000-2,Lemke-Champlin,Female,170674,183691,203467,215417,226482,239217,256560,268562,288244,307170,192630,94901
261,281994652-6,Rowe-Brakus,Female,103914,118878,131761,146085,156245,170531,189622,201474,216488,232485,83379,94602
262,054703238-2,"Gislason, Lockman and Little",Female,92857,101820,116283,129511,141783,156118,166158,182750,198401,214249,72809,95035
263,199897536-3,"Lind, Kertzmann and DuBuque",Female,58650,66032,74457,82626,88656,95589,102465,114279,128369,141622,85849,94305
264,783361372-X,Jenkins Group,Female,151342,169464,179677,190186,201826,214902,226077,239937,257013,276530,166917,95035
265,692961078-X,Grady Group,Female,175103,186282,202227,219161,235705,252146,266199,278212,288436,306436,190004,94027
266,905724421-7,Kulas-Wilderman,Male,176042,192436,209815,221677,231753,242183,258196,272095,291414,306643,167866,94530
267,390130215-8,Kub-Rohan,Male,157216,176637,195623,206446,217415,228487,242769,257088,268684,280621,147296,94134
268,440930340-6,Hermann and Sons,Male,98679,104885,118185,128638,139515,151029,167238,179838,199138,209510,59709,95476
269,705013071-0,Casper-Rosenbaum,Female,138917,153719,172866,186089,203076,222554,237784,250464,261968,277758,139188,94710
270,510668250-9,Labadie-Schmeler,Male,61660,71397,77799,84845,92150,98673,104664,116836,129619,143539,75638,94587
271,361298881-6,Buckridge Group,Male,186854,202830,216709,230597,250479,263426,282310,294075,308520,324940,199402,94546
272,232441475-9,"Daugherty, Kutch and Hahn",Male,144875,157587,173200,188275,205033,215038,226003,245978,261093,273456,163568,94960
273,586051650-9,Emmerich-Swift,Male,159428,169448,180594,191464,207372,219267,234367,250104,268607,279879,145545,94028
274,772373686-X,Bernhard Group,Female,129079,143155,154224,165655,182751,201800,219878,239173,250226,269651,158909,94107
275,238738108-4,"Hand, Homenick and Shanahan",Female,152090,165544,178959,190337,203544,217537,234361,249224,263679,283339,173525,94964
276,506309445-7,Emard-Berge,Male,179340,196581,208800,222572,238324,252599,268436,281578,291732,305083,160777,94035
277,104694852-0,"Nitzsche, Hoppe and Aufderhar",Male,65854,75560,81219,91006,100715,111402,126327,140979,151963,168849,101118,94128
278,098672984-1,Weissnat-Schmidt,Male,150259,167521,182061,192908,204138,222049,235241,247887,264345,280005,138946,94587
279,810707222-7,Bednar-Kuphal,Male,93494,100620,112877,126527,138466,149246,160390,179606,196530,213667,74135,94035
280,324899248-4,Schultz-Heathcote,Female,95491,104190,118906,131047,143817,153901,168754,183866,196231,210216,84225,94619
281,132882265-6,Von LLC,Male,102021,112035,126220,138165,150048,160558,175458,190698,203661,215467,108380,95002
282,665981858-8,"Herman, Miller and Doyle",Male,62071,71795,81253,88457,94648,104001,117512,130033,143571,154189,90136,94066
283,998638491-5,"Fisher, Monahan and Grimes",Male,93262,99579,108794,121533,134854,149587,160978,176996,196086,211991,71682,95476
284,297044942-0,Tremblay-Fritsch,Female,139881,154398,173037,193005,209413,221873,235458,254249,265678,280115,155781,94608
285,523738375-0,Douglas-Murray,Female,150891,163149,180949,191596,207135,221289,236317,253554,266997,278072,159104,94110
286,457566830-3,Schuster LLC,Male,133485,147536,160429,179244,194163,209975,225614,238249,251993,263237,122633,94585
287,080172912-2,McDermott Inc,Male,97905,102959,115635,127887,139847,153119,168967,185515,201481,215377,69371,94040
288,154530874-8,Collier-Thiel,Female,68660,74537,83354,91623,100351,112037,122244,135666,145725,159770,66946,94086
289,557911204-1,Homenick-Balistreri,Male,166275,177658,194663,211414,228665,239367,255516,271173,286917,304683,184427,94903
290,459322436-5,Streich Group,Male,178725,189778,204444,219184,233972,250885,266226,278010,296278,308400,167013,94110
291,057995211-8,Hickle-Rath,Female,148456,161530,171902,184774,203789,221665,238945,258054,276657,296006,187711,94521
292,946145916-5,Abbott LLC,Male,98111,105452,116265,129966,140826,151797,166348,179867,199766,218938,114535,94520
293,580211436-3,Lebsack LLC,Male,78971,84623,92589,100682,111943,122874,135598,149551,163943,178248,79252,94085
294,624571898-8,"Rath, Rice and Hettinger",Male,128459,140697,153396,164686,183944,199331,213181,224330,237137,254835,153217,94606
295,251916322-4,"Dooley, Thiel and Stroman",Female,163337,182659,194634,205441,222777,240301,252907,267391,282525,294168,181225,94507
296,656093077-7,Lockman-Wolf,Female,80402,88470,95184,102606,113677,124026,138555,151346,167648,181348,119026,94401
297,466222534-5,Gleichner and Sons,Male,91805,99480,105530,117747,132211,146910,158810,176415,194091,212946,104640,94131
298,852174774-8,Fay-Smitham,Female,169508,184284,203899,216991,234350,247718,258654,276328,290451,305157,163809,94303
299,942769790-3,Wolf-VonRueden,Female,83462,89150,95214,102146,116933,129519,142673,154167,169799,182955,111519,94304
300,278446002-9,Rolfson-Russel,Female,59959,66132,71614,78969,86830,95829,102797,114600,127763,141821,79249,94110
301,645455776-6,Sipes-Jaskolski,Female,100931,111450,125655,139341,149771,160822,180027,199901,215527,229493,93374,94612
302,427248440-0,Walker Inc,Male,140568,152092,171969,188602,200706,219091,232016,250247,265185,278126,163465,94121
303,053604181-4,Runolfsson-Macejkovic,Male,119737,133907,147605,162323,175728,192345,209292,228557,240300,253188,148647,94014
304,111837712-5,"Reichel, Schaden and McKenzie",Female,130956,143054,153164,163404,182806,195722,205760,224093,239464,254660,130272,94304
305,998716909-0,Watsica Inc,Female,197346,212776,230859,241058,258605,276209,287740,298154,309958,326130,186371,94506
306,286009105-X,"Moore, Stark and Metz",Male,192844,204741,216905,229044,240291,254301,271218,287151,303823,323712,202027,94954
307,616441969-7,DuBuque and Sons,Male,158022,175970,188148,203181,223178,240803,255057,266878,279873,299787,189227,94590
308,876720779-0,"Mann, Hackett and Keebler",Female,179779,192260,205754,216094,232595,247104,261651,277534,293865,312918,167760,94555
309,856126357-1,"Kris, Armstrong and Baumbach",Male,75078,80657,87081,93638,100800,110934,122339,135955,147474,158073,65042,94805
310,302335825-7,Boehm LLC,Female,192569,203130,223012,242640,254424,274285,287590,305706,324895,342094,194561,94539
311,328747030-2,Crooks-Bode,Female,164619,174887,187776,197844,215097,231040,247063,259895,273341,292382,142406,94521
312,562954098-X,"D'Amore, Sawayn and Shanahan",Female,107519,121294,133065,147969,161599,177577,196063,213631,231065,246492,99865,94938
313,579234386-1,Rowe and Sons,Male,147815,162395,181174,198764,215913,231407,251231,271221,291013,304266,166639,94111
314,155820687-6,"Rath, Schroeder and Pollich",Male,63095,71873,81835,87943,95645,100871,112602,125988,136983,147763,100574,94806
315,351656915-8,Powlowski Inc,Female,139211,153193,172469,184774,195317,205997,219194,234577,248046,258072,111190,94619
316,477036169-6,Kuvalis-Stamm,Male,194173,204805,222771,233523,244673,262884,275228,287521,303562,316766,172007,94954
317,760516044-5,Kuhic-Runolfsdottir,Female,162133,179567,192479,208001,226480,245653,264733,279305,289941,306271,158521,94572
318,765059241-3,"Brakus, Russel and Bruen",Male,108245,118760,129604,141716,153611,169175,187626,206151,218594,232346,99120,94933
319,774140662-0,Grant Group,Female,92617,99390,106723,118220,129962,141785,152555,171354,189771,208157,65740,94002
320,977552801-1,Schinner and Sons,Male,125793,136742,151665,171379,189384,203330,215043,225100,242901,255513,140551,94089
321,702170515-8,O'Hara-Lueilwitz,Male,87720,93335,99536,107286,120599,132839,144154,155407,171537,186864,103995,94612
322,765802407-4,"D'Amore, Anderson and Parker",Male,68626,75186,82480,88749,95895,104818,117322,129032,140525,153010,90033,94404
323,998236894-X,Ryan-Gerhold,Female,140554,152265,166346,185270,205051,219990,233437,251065,264794,279187,140705,94506
324,764293736-9,O'Connell LLC,Male,142968,154390,172703,189749,209413,223369,240860,255121,272564,289372,176980,94608
325,324835765-7,Wintheiser-Johnston,Male,185344,200351,217716,233412,249957,262760,282354,300073,318268,336516,223067,94104
326,232306813-X,"Raynor, Jacobi and Collier",Female,117357,128536,141191,152726,164919,182766,197150,213530,226952,244610,95603,94303
327,509847490-6,Rosenbaum Inc,Male,120487,132430,144735,155874,166340,179161,193343,203550,214302,233248,84001,95002
328,398363650-0,Connelly and Sons,Male,149805,161133,172218,190866,201997,216478,232345,247968,265836,285325,144044,95476
329,838528466-4,Daugherty and Sons,Male,136156,149091,159310,177908,193033,203498,221130,236423,246621,261955,114192,94121
330,511906242-3,Beatty-Schuster,Male,171689,182385,192439,206350,220407,232022,244456,261068,279339,297687,180283,94563
331,949030725-4,Kirlin-Maggio,Male,160164,173758,192045,204964,220129,235833,251071,269185,288351,302347,161268,94938
332,330923992-6,"Bogisich, Casper and Jacobson",Female,188979,201394,214203,233653,245766,256151,274197,292117,305194,321711,183398,94901
333,806545074-1,"Senger, McCullough and Predovic",Male,87378,93502,102374,115956,126160,136214,149211,163288,182378,199202,105430,94607
334,148304340-1,Powlowski Group,Female,100346,111272,121355,132163,145901,158483,173685,191940,211312,224021,107630,94949
335,990562113-X,Ryan-Stroman,Female,85025,92976,98552,108154,120700,135608,147532,158863,177652,189108,109243,94933
336,237890860-1,"Bruen, McCullough and Bruen",Male,132891,147112,161892,174792,184855,195300,214737,232904,243015,259190,128600,94703
337,914171352-4,"Jacobs, Grant and Parisian",Female,170868,187466,206591,220076,235587,252575,263824,281913,295891,315308,169680,94027
338,291101833-8,Rutherford and Sons,Male,54284,64201,73591,79579,87036,94213,101884,114211,128100,140619,82344,94587
339,152332641-7,Cole-Huel,Male,85743,93401,102202,116708,128803,139527,153607,168601,179571,190913,96545,94124
340,904302036-2,"Rau, Becker and Schaefer",Male,75102,83509,91554,100340,114494,124998,139793,150313,168403,182522,91958,94939
341,172574547-X,Gutmann-Wolff,Female,108552,122263,136476,150586,170307,188696,201758,213036,224824,241507,105016,94578
342,709676958-7,Kohler Group,Female,138504,148690,159829,171277,184076,204027,222382,241314,253004,265073,145600,94964
343,286924572-6,"Boehm, Kilback and Cassin",Female,111699,122645,135420,145455,159678,172910,184600,200366,219738,239606,112217,94572
344,638423338-X,Bode LLC,Male,133237,145538,155919,171797,182746,193242,210513,226061,238871,256608,143178,94404
345,401165238-5,O'Reilly-Jerde,Female,126488,141076,155335,170647,181969,195930,208108,220543,239249,258473,118563,94621
346,795365111-4,Wyman and Sons,Male,66292,72583,81374,89608,95447,102126,112776,127472,141959,155433,67647,94542
347,281513511-6,"Lockman, Paucek and Zieme",Male,190412,204962,222569,237635,254724,265187,275496,289841,305006,319324,182576,94111
348,742886084-9,Stanton Inc,Female,57613,66280,72670,77896,84726,92894,98091,108078,119517,134166,78771,94301
349,475174708-8,Bartell-Harvey,Male,194568,210154,228277,240980,260018,270086,284126,298278,312121,327322,219279,94568
350,340968945-1,Goldner Inc,Male,159926,170043,188588,199975,214692,229555,247645,258996,269832,285550,170097,95620
351,466709027-8,Nolan-Schmeler,Male,88400,95222,101053,114905,127982,141409,155464,172504,182510,200035,83958,94591
352,548472216-0,"Mosciski, Mitchell and Harvey",Female,54511,59623,67312,74699,82721,88945,96110,104001,118869,128962,85295,94133
353,842015986-7,"Konopelski, Simonis and Kemmer",Female,192290,207281,220564,239639,252074,270978,281821,294795,307639,319813,188735,95134
354,322363223-9,"Schulist, Casper and Howell",Male,133484,146819,159529,174132,187533,198840,209511,228427,239548,254846,149494,94002
355,039636148-X,"Lesch, Denesik and Farrell",Male,113166,126904,137003,149495,159717,176474,192181,203957,216930,234909,100560,94110
356,020547847-6,Stracke-Hilll,Male,173774,190726,201216,220628,239614,250190,262541,277818,290468,307577,174315,94702
357,065376843-5,Wilkinson-Hoppe,Female,84786,94548,104320,117956,132199,144570,155198,169338,188427,200736,87302,95002
358,334227591-X,"Hegmann, Prosacco and VonRueden",Male,100823,112965,125257,135838,147335,157380,174787,194502,206515,220928,117010,94301
359,858725649-1,Breitenberg-Cruickshank,Female,121941,135146,148676,159937,171507,187616,199487,213674,227237,240571,131983,94112
360,282463114-7,Harvey-Bailey,Male,69238,75773,81482,86797,94355,103266,117875,131928,143286,157916,74372,94040
361,501601074-9,White and Sons,Female,152048,165682,180374,197035,214397,228074,246180,257536,270695,289580,172338,94920
362,263500614-8,"Dooley, Bogan and Howell",Male,160225,176067,192045,204805,221472,233288,249057,265418,275538,288819,175924,94115
363,160216827-X,Nolan Inc,Male,122931,133742,146316,160872,171017,183700,202257,214377,230047,245410,105313,94603
364,748283466-4,Nader Inc,Female,161951,176858,195854,211119,225401,237814,255564,273597,288734,300919,187725,94502
365,633000359-9,"Brakus, Sawayn and Block",Male,171376,185626,198067,208921,225894,241860,258943,274043,287584,304280,193478,94577
366,404601351-6,Walsh-Beahan,Female,71899,80543,86287,91720,99787,106434,118853,133042,144431,157826,69886,94025
367,934195560-2,Fahey LLC,Female,166219,186057,199989,216324,232016,249704,263302,277447,292979,309650,209101,94533
368,642460508-8,Batz and Sons,Male,66053,76007,82019,88350,97860,103084,113625,126872,137552,148261,96687,94553
369,818815471-7,Dietrich Inc,Female,57408,64401,69887,77357,84193,90587,97010,105362,116636,131115,73953,94121
370,532571539-9,Kozey Group,Female,120775,132492,143208,154671,168945,182570,202209,221209,235070,246237,110934,94569
371,592924033-7,"Botsford, Williamson and Gaylord",Male,68926,78343,87885,94817,102804,113670,126007,138118,149963,160385,94859,94035
372,724099629-8,"Pfeffer, Lubowitz and McLaughlin",Male,135291,150109,163479,182426,198037,216107,232587,249519,261220,273413,149649,94127
373,334713135-5,Mayert and Sons,Female,127772,139165,149323,163321,176460,195817,212761,229866,245348,265259,139234,94129
374,454592925-7,Pollich-Christiansen,Female,173432,188065,198382,210145,226763,241129,251285,270417,287682,304877,172382,94586
375,047296273-6,"Hintz, West and Jacobson",Male,132285,143797,154555,169196,187024,203913,215299,226120,237445,248664,107804,94024
376,060962238-2,Reinger-Emmerich,Female,134935,149870,161642,173508,192842,211514,229438,247463,264050,274119,150421,94585
377,539840562-4,Mertz Group,Female,143526,155977,169497,179591,198290,216137,230450,246578,266462,280190,136209,94970
378,529359415-X,Bechtelar-Boehm,Male,85305,93332,100133,114171,127951,138463,152881,166461,179599,189936,119720,94501
379,897155058-9,Heathcote-Huel,Male,118948,129218,141682,154919,166979,186633,205441,217504,233886,252491,114306,94703
380,505601972-0,Cassin Inc,Female,98035,103649,118106,129227,144152,157284,171654,189465,204060,217600,114175,94530
381,330356180-X,"Gottlieb, Blick and Tremblay",Female,197591,212925,225021,242767,258871,277926,295675,315597,335535,347438,234757,94027
382,276159350-2,"Spencer, Emard and Goldner",Female,88896,97983,104983,115429,125948,138505,150053,163871,177959,194382,128293,94502
383,511828519-4,Lowe-Bashirian,Female,130712,141503,152457,171206,190498,201683,215323,227362,242504,258940,126089,94061
384,832623500-8,"Schimmel, Boehm and Hagenes",Female,118518,130449,144665,157268,167585,179864,197402,216631,235660,254703,135837,94558
385,389598223-7,Ryan-Keebler,Male,106624,117857,128129,140843,152817,166279,183832,203720,219012,232854,131455,94506
386,187180633-X,Bogisich-Marks,Male,153945,166038,185119,196058,207106,222318,234967,252580,263263,280706,155451,94116
387,075866183-5,Koss Inc,Male,51218,59376,65613,72857,81307,87170,96832,106001,118942,132976,65744,94563
388,970382890-6,"Zulauf, Weissnat and Deckow",Male,90604,95755,103726,116911,131021,144117,156040,173049,187761,200628,56557,94596
389,646472210-7,"Cartwright, Koss and Koelpin",Male,68263,73741,80715,86608,95230,101289,111711,123314,134742,146925,92864,94710
390,141125121-0,Wuckert Group,Female,175182,187729,205681,218877,235784,254127,269932,288375,302960,321096,210945,94619
391,674319231-7,"Macejkovic, Medhurst and Nikolaus",Female,143370,155861,172171,188471,198782,211613,224025,236211,248234,259536,138858,94947
392,885657206-0,Bruen Group,Female,158861,172081,184589,204336,223033,242274,257328,270410,285369,299853,193399,94525
393,421421269-X,Corkery-Boyer,Female,183693,198737,218404,229938,243844,260531,276923,289304,301474,312651,208611,94533
394,527444796-1,Mraz Inc,Male,152452,170182,185842,199310,216523,234491,248916,266944,286362,301130,200552,94107
395,410691855-2,Harvey-Frami,Male,190896,203979,215539,230095,245498,264555,278389,288751,301955,321803,219576,94930
396,048083574-8,"Jast, Schamberger and Thiel",Male,118068,129834,143479,158003,170436,185315,202669,213045,227544,243159,118988,94301
397,533353631-7,Greenfelder Inc,Female,101933,112942,125088,135224,148690,162489,174132,190522,205271,224503,124267,94530
398,928334818-4,Mosciski and Sons,Male,155299,167247,186969,199747,219744,230964,243456,256017,274081,285503,157513,94566
399,161858729-3,"Schmidt, Anderson and Kilback",Female,86576,92473,99197,109148,120074,130409,142484,153131,165923,179539,81277,94520
400,310261038-2,McKenzie-Bauch,Female,71697,80600,88743,95719,101412,113738,125137,138838,152577,169893,86635,94964
401,091344830-3,Pfannerstill-Friesen,Female,196735,214869,229077,244048,256178,269298,282441,301030,316072,331399,216888,94063
402,531945539-9,Halvorson Group,Male,164527,183823,200003,214786,230648,241590,258514,272761,283460,295481,193371,94702
403,893126188-8,"O'Hara, Ward and Rippin",Male,168946,180247,192868,205955,216681,234523,251294,269239,279305,290563,181401,94925
404,729896586-7,"Greenholt, Wiegand and Kling",Female,76109,83972,91633,97985,107106,120712,135373,149526,164470,179673,116367,94973
405,907429734-X,"Lubowitz, Hand and Kris",Male,90035,95367,102623,116854,131268,144045,156847,168514,181847,198634,119809,94556
406,393171336-9,Hermiston Group,Female,145349,159014,172278,189640,207513,219945,237782,249091,259117,276616,148532,94512
407,399087700-3,Dare-Fahey,Male,99435,105475,115575,127111,137476,149484,162423,176916,191624,202354,96362,94586
408,336220803-7,Romaguera-Kunze,Female,108964,123129,137623,150152,168664,179898,199558,216348,235714,250742,150637,94579
409,255521468-2,Hartmann and Sons,Male,112898,126194,139220,150843,164784,178996,196669,211229,225512,237019,95698,94512
410,112776736-4,"O'Connell, Balistreri and Johnson",Female,82172,91072,97677,104665,115438,129796,141216,152101,168692,180488,110708,94561
411,512483936-8,"Greenfelder, Lynch and Greenfelder",Female,76115,81591,88480,98468,106151,119697,132952,144053,156060,169233,84678,94605
412,474360022-7,Rodriguez-Block,Female,106311,120577,132085,144674,158261,176090,186892,201550,216615,233921,106316,94611
413,990603745-8,Goyette and Sons,Male,134491,145538,157423,175644,185730,200944,214598,228825,245784,261281,144629,94130
414,979205275-5,"Jacobson, Schmeler and Moen",Male,97154,106361,118593,131475,142031,154298,173089,184277,199699,210707,93995,94560
415,395421701-5,"Sauer, Satterfield and Ratke",Male,153797,163930,176725,186901,201247,214509,224988,241319,256550,268192,156984,94954
416,012530610-5,Reynolds and Sons,Male,165272,177061,193301,212267,227007,245771,263328,274603,289745,301652,165307,94404
417,838681669-4,Wiza LLC,Male,141908,155619,170434,186593,197239,216284,227574,238303,255637,272061,152070,95140
418,173391243-6,Adams LLC,Female,78746,86244,92770,98023,105291,117987,130019,143828,155177,167060,90118,94925
419,765170770-2,Gaylord Inc,Female,193258,206073,220580,238620,250106,268209,287871,299057,317007,330424,211239,95140
420,420582414-9,Bartoletti and Sons,Female,78854,84558,89950,95811,104980,118890,130607,143398,156840,170633,81938,94963
421,957362208-4,"Kub, Volkman and Graham",Female,50431,58619,66516,72268,80273,90021,95812,102969,117651,129675,62245,94580
422,279230430-8,Lueilwitz-Kub,Male,155865,173996,189692,201642,217783,230658,245601,256184,268551,284254,163231,94517
423,410808995-2,Dare-Zboncak,Female,70602,77372,87198,94912,100441,114822,125308,139093,151300,168879,104144,94024
424,021921809-9,"Wiegand, Beier and Shields",Female,144347,158832,171832,188376,199763,214664,229715,241693,254722,273199,128393,94111
425,047091015-1,Ebert Group,Female,189572,204689,221089,235875,251572,264706,276532,294003,311881,329063,212880,95002
426,526566320-7,Murray-Rau,Male,116547,129077,141422,153880,167401,186115,196850,213924,226324,244369,141876,94517
427,351320003-X,Wunsch-Emmerich,Male,72446,78494,86658,92466,100531,111628,121934,134942,147164,161665,84459,94517
428,556684675-0,Runolfsdottir Inc,Male,190147,208110,219636,238848,252350,262611,277647,294244,308115,318654,216041,94542
429,195834889-9,Barrows-West,Male,182954,195427,210113,226360,236441,247668,265980,278135,291397,308870,166172,94513
430,559670406-7,Kirlin-Larson,Male,58166,67300,76821,82952,90838,100639,114708,126057,139007,151811,83653,94109
431,605139820-1,Nitzsche-Purdy,Female,87784,96729,102373,114927,128956,142377,152565,166748,179570,196106,115250,94702
432,025716500-2,"Mosciski, Lebsack and DuBuque",Male,129435,143519,157616,169423,187635,200609,214101,229671,242448,259628,142363,94401
433,762472003-5,"Deckow, Senger and Kunze",Female,187918,205046,221208,236001,250607,261685,275966,292041,311830,323016,208470,94945
434,150736849-6,"Mitchell, Anderson and Mertz",Male,76122,85442,95310,101785,114987,129150,142296,153360,166501,178975,88021,94024
435,436647889-7,Graham-Kunde,Female,52325,59941,68515,74155,79604,89398,96210,103005,113144,123963,56346,94945
436,356998733-7,Baumbach-Cartwright,Male,199881,218912,238442,256841,271755,287687,298114,317958,331904,344461,219470,94606
437,055340514-4,Volkman-Bayer,Female,89043,96670,102961,116881,128407,140379,151514,170951,190815,209540,61682,94022
438,088663642-6,"Kiehn, Stiedemann and Kuhlman",Female,66854,73224,78810,87290,96547,105148,119910,131109,142478,152628,69457,94579
439,506827896-3,"Aufderhar, Hoeger and Stoltenberg",Female,98494,108169,122296,134455,145975,156452,170323,184834,201816,213006,68840,94547
440,426008403-8,Upton-Ryan,Female,124783,136127,147486,159109,173255,190634,205060,220637,239707,257080,133296,95140
441,179965176-2,Prohaska-Cole,Male,67223,74684,83460,93448,101906,115184,129302,143122,157573,169581,104519,94115
442,209162638-4,Zemlak-Ryan,Female,170664,189648,206985,218381,238023,252205,266204,285769,303378,313496,202370,94117
443,114166648-0,"Terry, Price and Gutmann",Female,155092,174218,192840,210496,227267,244211,261924,279275,296215,309086,182398,94121
444,982032237-5,Cormier-Pfeffer,Female,162288,175172,189771,209738,225536,236712,250918,264561,280655,295236,149711,94596
445,799489491-7,Treutel-Herzog,Male,149708,162170,179246,195685,211235,225447,238079,255834,275768,291819,183386,94014
446,935080475-1,Emmerich Inc,Female,115052,129438,143502,154993,171264,182305,193680,212629,222631,238931,123865,94933
447,022604400-9,Shanahan-Will,Female,50168,57376,64508,74390,84086,92175,98872,104908,114993,125216,56532,94507
448,858573324-1,Christiansen and Sons,Male,156600,170248,182317,193836,210232,227276,246984,266201,282242,301981,152306,94403
449,135748240-X,Stroman-Trantow,Female,181797,194915,205522,221764,238534,255766,270950,290577,310073,323754,192431,94549
450,164367748-9,Stamm-McGlynn,Female,58227,65826,70920,80732,88515,94855,100048,111757,122307,133774,79943,94546
451,294797876-5,"Zulauf, Bergnaum and Bergstrom",Male,152749,167147,179662,190322,204182,215969,233372,248800,267346,277752,144116,94595
452,858548289-3,Abernathy LLC,Male,147799,161609,172037,184475,197276,216119,230532,245879,257038,269032,162308,94583
453,648050316-3,Boehm-Feil,Female,83230,92322,99780,108328,122603,133216,144060,158810,170977,188973,93668,94502
454,199584347-4,Gerhold-Collier,Male,71415,76930,86138,93104,100500,111352,123421,135292,148560,160750,96586,94619
455,760038340-3,Purdy LLC,Male,142649,155227,170536,189595,200446,214108,225081,240892,256923,271811,150627,94560
456,352486293-4,Kulas-Jaskolski,Male,198227,213912,229355,249037,262633,275240,290597,305165,324118,335059,227278,94941
457,659366494-4,"Bogisich, Howell and Mueller",Male,193376,205418,217263,236262,254774,271263,285324,297398,313599,330387,221700,94560
458,915757134-1,Wolf-Wyman,Female,150732,162123,176555,193345,211833,223453,241335,252114,270873,286588,167519,94506
459,852174606-7,Hickle Group,Female,124438,136456,150575,165258,178769,194466,209778,227623,243681,253976,130237,94556
460,570029005-7,"Mayert, Trantow and Schaden",Male,65288,72868,80800,89617,95675,103069,113840,127151,139318,149483,86574,94925
461,387733938-7,Blanda-Brekke,Female,183745,195486,206263,221951,237995,253080,271623,283584,294759,306734,197504,94304
462,585727499-0,King-Tillman,Female,95547,103406,116571,128724,140411,151905,170467,181298,194849,211586,104158,94010
463,428655426-0,Brown Group,Male,139544,153247,165871,179190,197514,208041,218642,236334,249661,261677,149901,94518
464,009522030-5,"Cruickshank, Gulgowski and Konopelski",Male,198548,216885,227957,247937,260032,276299,294180,304770,324506,337939,224355,94507
465,776507721-X,"Waters, Doyle and Huels",Male,54114,59484,65128,71391,80823,86461,94762,103500,117427,129649,66588,94080
466,527598762-5,Rippin LLC,Male,136312,148862,163644,177979,195494,211301,226787,241638,254326,274085,139131,94132
467,849381279-X,Gusikowski Group,Male,158974,173663,188880,201859,221492,239867,250451,270429,290194,302199,170297,94133
